Date,T_out,month
2000-01-01,-0.6,1
2000-01-01,-1.1,1
2000-01-01,0,1
2000-01-01,-1.7,1
2000-01-01,-1.1,1
2000-01-01,-1.7,1
2000-01-01,-0.6,1
2000-01-01,-1.7,1
2000-01-01,-1.1,1
2000-01-01,2.8,1
2000-01-01,6.1,1
2000-01-01,10,1
2000-01-01,11.7,1
2000-01-01,12.2,1
2000-01-01,13.3,1
2000-01-01,12.2,1
2000-01-01,11.1,1
2000-01-01,9.4,1
2000-01-01,10,1
2000-01-01,8.9,1
2000-01-01,7.8,1
2000-01-01,8.3,1
2000-01-01,8.3,1
2000-01-01,9.4,1
2000-01-02,9.4,2
2000-01-02,11.1,2
2000-01-02,11.7,2
2000-01-02,11.1,2
2000-01-02,11.7,2
2000-01-02,11.7,2
2000-01-02,11.7,2
2000-01-02,12.2,2
2000-01-02,12.2,2
2000-01-02,13.3,2
2000-01-02,13.9,2
2000-01-02,13.9,2
2000-01-02,14.4,2
2000-01-02,14,2
2000-01-02,15.6,2
2000-01-02,16.1,2
2000-01-02,15.6,2
2000-01-02,15.6,2
2000-01-02,15.6,2
2000-01-02,13.9,2
2000-01-02,10,2
2000-01-02,7.2,2
2000-01-02,4.4,2
2000-01-02,4.4,2
2000-01-03,4.4,3
2000-01-03,4.4,3
2000-01-03,4.4,3
2000-01-03,3.9,3
2000-01-03,3.9,3
2000-01-03,3.9,3
2000-01-03,3.9,3
2000-01-03,3.9,3
2000-01-03,3.9,3
2000-01-03,4.4,3
2000-01-03,4,3
2000-01-03,5,3
2000-01-03,4.4,3
2000-01-03,6.1,3
2000-01-03,8,3
2000-01-03,9.4,3
2000-01-03,10,3
2000-01-03,10,3
2000-01-03,10,3
2000-01-03,9.4,3
2000-01-03,7.2,3
2000-01-03,6.7,3
2000-01-03,6.7,3
2000-01-03,8.9,
2000-01-04,5,
2000-01-04,4.4,
2000-01-04,1.7,
2000-01-04,0.6,
2000-01-04,0,
2000-01-04,0,
2000-01-04,-0.6,
2000-01-04,-1.1,
2000-01-04,-1.1,
2000-01-04,-1.1,
2000-01-04,-1,
2000-01-04,-0.6,
2000-01-04,-1.1,
2000-01-04,-1.1,
2000-01-04,-1.1,
2000-01-04,-1.7,
2000-01-04,-2.2,
2000-01-04,-3,
2000-01-04,-2.8,
2000-01-04,-2.8,
2000-01-04,-3.3,
2000-01-04,-4.4,
2000-01-04,-4.4,
2000-01-04,-5,
2000-01-05,-5.6,
2000-01-05,-5.6,
2000-01-05,-6.1,
2000-01-05,-6.1,
2000-01-05,-6.7,
2000-01-05,-6.1,
2000-01-05,-6.7,
2000-01-05,-5.6,
2000-01-05,-6.1,
2000-01-05,-6.1,
2000-01-05,-5.6,
2000-01-05,-5.6,
2000-01-05,-4.4,
2000-01-05,-4.4,
2000-01-05,-3.9,
2000-01-05,-3.3,
2000-01-05,-3.3,
2000-01-05,-3.3,
2000-01-05,-3.3,
2000-01-05,-3.3,
2000-01-05,-3.3,
2000-01-05,-3.9,
2000-01-05,-3.3,
2000-01-05,-2.8,
2000-01-06,-2.2,
2000-01-06,-2.2,
2000-01-06,-2.2,
2000-01-06,-1.7,
2000-01-06,-1.1,
2000-01-06,-1.7,
2000-01-06,-1.7,
2000-01-06,-1.7,
2000-01-06,-1.7,
2000-01-06,0,
